Author	Treatment	Cause	PMID Count	PMIDs
Hong-Lin Su	COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	38173231
Chih-Lung Lin	COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	38173231
Ima Kosukegawa	COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	31938894
Hiroki Takahashi	COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	31938894
Toshihiko Yamashita	COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	31938894
Xiaonan Li	COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32434278
Paula R Clemens	COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32434278
William J Jusko	COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32434278
R Yazbeck	COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33722535
S E Jaenisch	COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33722535
C A Abbott	COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33722535
Laura Quadros-Pereira	COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	39662268
Niels Olsen Câmara	COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	39662268
Vinicius Andrade-Oliveira	COPD Treatment Cluster 14: β Adrenergic Modulation for Managing Bladder Overactivity in COPD Patients	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	39662268
David Perna-Barrull	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32849311
Marta Vives-Pi	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32849311
Yuting Ma	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32002285
Heng Yang	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32002285
Guido Kroemer	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32002285
Stefano Bruscoli	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	36243331
Francesca Levi-Schaffer	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	36243331
Carlo Riccardi	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	36243331
Chunxiu Shen	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	34318604
Xiangguo Duan	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	34318604
Chunxia Su	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	34318604
Antonella Bruzzese	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	39385638
Ernesto Vigna	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	39385638
Massimo Gentile	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	39385638
Gordana Taleska Stupica	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32292492
Tomislav Klokocovnik	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32292492
Matej Podbregar	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32292492
Jacob M van Laar	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	37873558
Petter Svanberg	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	37873558
Christina Keen	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	37873558
Chloe Fenton	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33162397
Karim Raza	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33162397
Rowan S Hardy	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33162397
Tiina Lehtola	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	38439200
Katriina Vuolteenaho	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	38439200
Eeva Moilanen	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	38439200
Yanan Xu	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33145710
Chenghua Xiao	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33145710
Deqin Geng	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33145710
Jean-Philippe Auger	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	38600378
Jan Tuckermann	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	38600378
Gerhard Krönke	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	38600378
Vivian Vasconcelos Costa	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	38355144
Mauro Martins Teixeira	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	38355144
Na-Ra Han	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	35011361
Phil-Dong Moon	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	35011361
Juliana P Vago	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33378946
Lirlândia P Sousa	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33378946
Gara Arteaga-Henríquez	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	36913130
Laura Gisbert	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	36913130
Josep Antoni Ramos-Quiroga	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	36913130
Sandrine Herbelet	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32605223
Jan L De Bleecker	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32605223
Wen-Teng Chang	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33771121
Cheng-Chieh Tsai	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33771121
Chia-Chang Chuang	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33771121
Anthony N Gerber	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33891947
Robert Newton	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33891947
Sarah K Sasse	COPD Treatment Cluster 15: Glucocorticoid Receptor Modulation for Optimizing COPD Therapy and Minimizing Adverse Effects	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33891947
Yang Zhou	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	36291183
Sabrina Bréchard	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	36291183
Helton de Sá Souza	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	36498393
Dalva Poyares	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	36498393
Vânia D'Almeida	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	36498393
Karolina Piekarska	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	37744353
Katarzyna Bogunia-Kubik	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	37744353
Izabela Nowak	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	37744353
Soumyava Basu	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33010848
Paul Elkington	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33010848
Narsing A Rao	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33010848
Thomas Resch	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32477321
Michael Grimm	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32477321
Sefan Schneeberger	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32477321
Peng Zhang	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	34979839
Xiaoqiang Liu	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	34979839
Débora M A Prado	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33411410
Fernando R Gomes	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33411410
Carla B Madelaire	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	33411410
Dehu Li	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	40286421
Xianzhi Xiong	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	40286421
Hannes Sallmon	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	36925318
Cassidy A Delaney	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	36925318
Ulrich Fabien Prodjinotho	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32298263
Andrea Sylvia Winkler	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32298263
Clarissa Prazeres da Costa	COPD Treatment Cluster 16: Multifaceted Approach to Managing COPD Exacerbations and Comorbidities through Rehabilitation and Prophylaxis Strategies	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32298263
Yun Yu	COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32738596
Hao Liu	COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32738596
Fang Wei	COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32738596
Xiangjiao Yi	COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	34585777
Edward Schwarz	COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	34585777
Zhenqiang Yao	COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	34585777
Muhammad Muzammil Nazir	COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	39710763
Asma Ashraf	COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	39710763
A L Cross	COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32383062
S W Edwards	COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	1	32383062
